,pptID,fileName,condition,age,gender,nationality,firstLang,trial,clipId,freetext,Competing,Cooperating,PlaySeparate,PlayTogether,leftSad,rightSad,leftHappy,rightHappy,leftAngry,rightAngry,leftExcited,rightExcited,leftCalm,rightCalm,leftFriendly,rightFriendly,leftAggressive,rightAggressive,leftEngaged,rightEngaged,leftDistracted,rightDistracted,leftBored,rightBored,leftFrustrated,rightFrustrated,leftDominant,rightDominant,leftSubmissive,rightSubmissive,diffSad,sumSad,diffHappy,sumHappy,diffAngry,sumAngry,diffExcited,sumExcited,diffCalm,sumCalm,diffFriendly,sumFriendly,diffAggressive,sumAggressive,diffEngaged,sumEngaged,diffDistracted,sumDistracted,diffBored,sumBored,diffFrustrated,sumFrustrated,diffDominant,sumDominant,diffSubmissive,sumSubmissive
367,136,49kinvvzupaqxq_data.csv,2,31,Female,American,English,4,07,It almost looks like the child on the right is trying to engage and okay with the child on the left but she is not having it.,0,1,3,1,2,1,1,3,1,1,1,1,3,3,1,4,1,1,4,1,1,3,0,3,1,3,2,1,1,3,1,-1,2,0,0,-2,0,-2,0,2,3,1,0,-2,3,1,2,0,3,-1,2,0,1,-1,2,0
368,132,4kin54nwrg432_data.csv,2,24,Male,American,English,1,03,the two childrens are playing,4,4,2,3,3,0,3,1,4,0,4,2,3,1,0,2,2,1,2,1,3,4,1,3,2,1,2,0,2,4,3,-1,2,0,4,0,2,2,2,0,2,-2,1,-1,1,-1,1,3,2,0,1,-1,2,-2,2,2
369,132,4kin54nwrg432_data.csv,2,24,Male,American,English,2,15,two children's drawing on the table,3,0,2,2,1,0,0,2,2,1,1,3,1,3,1,0,3,4,3,4,3,1,2,4,2,4,2,0,1,3,1,-3,2,-2,1,-1,2,0,2,0,1,-3,1,3,1,3,2,0,2,2,2,2,2,-2,2,0
370,132,4kin54nwrg432_data.csv,2,24,Male,American,English,3,08,the children are seeing something,2,3,1,3,0,1,0,2,2,0,4,3,2,1,2,4,1,3,3,4,2,4,3,1,3,2,2,3,0,1,1,-3,2,-2,2,-2,1,3,1,-1,2,2,2,0,1,3,2,2,2,0,1,1,1,1,1,-3
371,132,4kin54nwrg432_data.csv,2,24,Male,American,English,4,10,one children teaching to another child,1,3,1,3,1,2,2,3,1,0,2,4,2,4,2,4,2,4,2,0,3,0,2,3,0,3,1,3,2,1,1,-1,1,1,1,-3,2,2,2,2,2,2,2,2,2,-2,3,-1,1,1,3,-1,2,0,1,-1
388,178,50kinx5busmu0e_data.csv,2,41,Female,American,English,1,18,The girl wouldn't let the boy do anything. Everytime he touched the screen she would push his hand away.,3,0,3,0,3,0,0,3,2,3,2,4,3,1,3,0,0,4,1,4,0,0,3,0,4,0,0,4,3,0,3,-1,3,-1,1,1,2,2,2,0,3,-1,4,0,3,1,0,-4,3,-1,4,0,4,0,3,-1
389,178,50kinx5busmu0e_data.csv,2,41,Female,American,English,2,14,"The children were playing a game together, both were happy.",2,3,0,4,2,0,4,4,0,0,3,3,3,3,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,-2,0,4,0,-4,0,2,0,2,0,4,0,-4,0,4,0,-4,0,-4,0,-4,0,-4,0,-4
390,178,50kinx5busmu0e_data.csv,2,41,Female,American,English,3,19,They were discussing what they were doing and working on it together,0,4,0,4,0,0,3,3,0,0,1,1,4,4,4,4,0,0,4,4,0,0,0,0,0,0,1,3,3,1,0,-4,0,2,0,-4,0,-2,0,4,0,4,0,-4,0,4,0,-4,0,-4,0,-4,2,0,2,0
391,178,50kinx5busmu0e_data.csv,2,41,Female,American,English,4,15,The child on the right did not give the child on the left a chance to do anything.,2,1,2,1,3,1,0,3,1,1,1,1,3,3,3,1,1,3,3,3,0,0,1,1,3,2,1,3,3,1,2,0,3,-1,0,-2,0,-2,0,2,2,0,2,0,0,2,0,-4,0,-2,1,1,2,0,2,0
404,179,52kin86c9pum15_data.csv,2,30,Female,American,English,1,10,They seemed to be interacting well and interested in showing the other one what they were doing.,1,3,0,4,1,1,3,3,1,1,3,3,3,3,3,3,1,1,3,3,1,1,1,1,1,1,1,1,1,1,0,-2,0,2,0,-2,0,2,0,2,0,2,0,-2,0,2,0,-2,0,-2,0,-2,0,-2,0,-2
