,pptID,fileName,condition,age,gender,nationality,firstLang,trial,clipId,freetext,Competing,Cooperating,PlaySeparate,PlayTogether,leftSad,rightSad,leftHappy,rightHappy,leftAngry,rightAngry,leftExcited,rightExcited,leftCalm,rightCalm,leftFriendly,rightFriendly,leftAggressive,rightAggressive,leftEngaged,rightEngaged,leftDistracted,rightDistracted,leftBored,rightBored,leftFrustrated,rightFrustrated,leftDominant,rightDominant,leftSubmissive,rightSubmissive,diffSad,sumSad,diffHappy,sumHappy,diffAngry,sumAngry,diffExcited,sumExcited,diffCalm,sumCalm,diffFriendly,sumFriendly,diffAggressive,sumAggressive,diffEngaged,sumEngaged,diffDistracted,sumDistracted,diffBored,sumBored,diffFrustrated,sumFrustrated,diffDominant,sumDominant,diffSubmissive,sumSubmissive
624,55,83kin4x96jl8mg_data.csv,1,29,Male,American,English,1,03,The two children was playing interesting.And both are excited.,3,3,3,3,1,0,3,3,1,1,3,3,1,1,3,3,1,1,3,3,1,1,1,1,2,2,3,2,2,2,1,-3,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,-2,0,0,1,1,0,0
625,55,83kin4x96jl8mg_data.csv,1,29,Male,American,English,2,04,The two children fighting with each other.Both are not mingle.,3,1,3,1,3,3,1,2,2,3,1,1,1,1,0,1,2,3,3,3,3,2,0,1,3,3,3,3,2,2,0,2,1,-1,1,1,0,-2,0,-2,1,-3,1,1,0,2,1,1,1,-3,0,2,0,2,0,0
626,55,83kin4x96jl8mg_data.csv,1,29,Male,American,English,3,01,The two children play compete ting with each other.,0,3,2,3,1,1,3,3,1,1,3,3,2,3,3,3,1,1,3,3,1,1,1,1,1,1,3,3,2,2,0,-2,0,2,0,-2,0,2,1,1,0,2,0,-2,0,2,0,-2,0,-2,0,-2,0,2,0,0
627,55,83kin4x96jl8mg_data.csv,1,29,Male,American,English,4,14,the two children playing seriously with in the table.,2,3,2,2,0,1,3,3,1,1,3,3,3,3,3,3,3,2,3,3,1,1,1,1,1,1,3,3,1,1,1,-3,0,2,0,-2,0,2,0,2,0,2,1,1,0,2,0,-2,0,-2,0,-2,0,2,0,-2
632,56,84kin5zz3bmm8q_data.csv,1,31,Male,American,English,1,11,The were cooperating and communicating to each about what was on the touchscreen.,2,4,1,3,1,0,1,2,2,2,2,2,1,3,2,3,1,2,4,4,0,0,1,0,3,2,1,3,3,1,1,-3,1,-1,0,0,0,0,2,0,1,1,1,-1,0,4,0,-4,1,-3,1,1,2,0,2,0
633,56,84kin5zz3bmm8q_data.csv,1,31,Male,American,English,2,10,The child on the right was showing the other child how to play. The child on the left watched and waited before interacting with the touchscreen. ,2,2,1,3,2,1,2,1,0,2,1,2,3,3,0,3,0,1,2,4,0,0,2,0,0,3,0,3,3,0,1,-1,1,-1,2,-2,1,-1,0,2,3,-1,1,-3,2,2,0,-4,2,-2,3,-1,3,-1,3,-1
634,56,84kin5zz3bmm8q_data.csv,1,31,Male,American,English,3,07,The child on the right carefully watched the other child's actions before gesturing and questioning the actions of the child on the left.,0,4,0,4,0,0,2,2,0,0,2,2,4,4,4,4,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,-4,0,0,0,-4,0,0,0,4,0,4,0,-4,0,4,1,-3,0,-4,0,-4,0,-4,0,-4
635,56,84kin5zz3bmm8q_data.csv,1,31,Male,American,English,4,01,The were both very aggressive with one another. They seem to dislike the actions each of them took so they fought to correct each other.,4,0,0,0,2,2,0,0,3,3,2,2,0,0,0,0,4,4,4,4,0,0,0,0,4,4,4,4,0,0,0,0,0,-4,0,2,0,0,0,-4,0,-4,0,4,0,4,0,-4,0,-4,0,4,0,4,0,-4
640,57,84kinyfq323qbe_data.csv,1,36,Male,Indian,Hindi,1,13,one is giving something and other is collecting given by first child,3,3,0,4,1,0,2,4,1,0,3,4,1,0,2,3,1,1,3,4,1,1,1,0,1,0,1,3,1,1,1,-3,2,2,1,-3,1,3,1,-3,1,1,0,-2,1,3,0,-2,1,-3,1,-3,2,0,0,-2
641,57,84kinyfq323qbe_data.csv,1,36,Male,Indian,Hindi,2,01,they were counting something and left was head there,3,1,0,3,1,3,1,1,3,1,3,3,0,1,0,2,4,1,4,4,1,1,1,1,4,1,4,1,3,2,2,0,0,-2,2,0,0,2,1,-3,2,-2,3,1,0,4,0,-2,0,-2,3,1,3,1,1,1
